PTU,prop.core,n.core,n.others,pangenome.category
PTU-B_O_K_Z,0.0904836193447738,58,583,include
PTU-Bac16,0.0416666666666667,1,23,exclude
PTU-Bac17,0.163120567375887,23,118,include
PTU-Bac18,0.213483146067416,19,70,include
PTU-Bac20,0.25,2,6,exclude
PTU-Bac37,0.69047619047619,174,78,include
PTU-C,0.0438382854359474,90,1963,include
PTU-Cam1,0.190954773869347,38,161,include
PTU-Cla2,0.888888888888889,8,1,exclude
PTU-E1,0.0166666666666667,2,118,exclude
PTU-E10,0.214285714285714,3,11,exclude
PTU-E14,0.0344827586206897,1,28,exclude
PTU-E15,0.203661327231121,89,348,include
PTU-E16,0.263768115942029,91,254,include
PTU-E18,0.303571428571429,102,234,include
PTU-E2,0.406666666666667,61,89,include
PTU-E21,0.189988623435722,167,712,include
PTU-E3,0.0114942528735632,2,172,exclude
PTU-E4,0.0657894736842105,5,71,exclude
PTU-E5,0.442105263157895,84,106,include
PTU-E7,0.121212121212121,4,29,exclude
PTU-E76,0,0,67,exclude
PTU-E81,0.0926966292134832,66,646,include
PTU-E82,0.0653357531760436,72,1030,include
PTU-E83,0.133699633699634,73,473,include
PTU-E84,0.165548098434004,74,373,include
PTU-E9,0,0,9,exclude
PTU-FE,0.025520483546004,38,1451,include
PTU-FK,0.0633802816901408,108,1596,include
PTU-FS,0.118673647469459,68,505,include
PTU-FSh,0.178921568627451,73,335,include
PTU-FY,0.371541501976285,94,159,include
PTU-HI1A,0.187290969899666,168,729,include
PTU-HI1B,0.101058201058201,191,1699,include
PTU-HI2,0.0713231677324151,145,1888,include
PTU-I1,0.069101678183613,70,943,include
PTU-I2,0.25,55,165,include
PTU-L_M,0.164705882352941,70,355,include
PTU-Lab17,0.0344827586206897,2,56,exclude
PTU-Lab18,0.114906832298137,37,285,include
PTU-Lab37,0.0526315789473684,1,18,exclude
PTU-Lab50,0.0751789976133652,63,775,include
PTU-N1,0.0894308943089431,44,448,include
PTU-Pse5,0.304182509505703,80,183,include
PTU-Pse7,0.0909090909090909,6,60,exclude
PTU-R,0.0953757225433526,33,313,include
PTU-X1,0.0581162324649299,29,470,include
PTU-X3,0.153605015673981,49,270,include
PTU-X4,0.160919540229885,28,146,include
PTU-Y,0.111287758346582,70,559,include
